BIERMANN, PL
STANEV, TKGT
GOLDMAN, I
WANDEL, A
PILDIS, RA
BREGMAN, JN
EVRARD, AE
SWARTZ, DA
SUTHERLAND, PG
HARKNESS, RP
BECKER, W
BARZIER, KTS
TRUEMPER, J
ANGELANTONJ, C
AMENDOLA, L
LITTERIO, M
OCCHIONERO, F
LOEB, A
BRAINERD, JJ
MEEGAN, CA
BRIGGS, MS
PENDLETON, GN
BROCK, MN
MOHR, JJ
GELLER, DGFMJ
FARAONI, V
COOPERSTOCK, FI
OVERDUIN, JM
HELBIG, P
KAYSER, R
ANDREANI, P
CASOLI, F
GERIN, M
HELENE, DN
GEORGES, P
LYON, OD
MAARTENS, R
ELLIS, GFR
STOEGER, WR
HERNQUIST, L
SIGURDSSON, S
BRYAN, GL
BAHCALL, JN
KIRHAKOS, S
SCHNEIDER, DP
THORSETT, SE
YOUNG, K
OBSERVATORY, CS
EDU, RC
TOZZI, GBFGP
STANGA, RM
UDALSKI, A
KUBIAK, M
SZYMANSKI, M
KALUZNY, J
MATEO, M
KRZEMINSKI, W
LEONARD, S
LAKE, K
BERERA, A
FANG, L
DAVIS, M
NUSSER, A
BUNKER, AJ
WARREN, SJ
HEWETT, PC
CLEMENTS, DL
WADA, K
HABE, A
SOFUE, Y
BRANCHINI, E
PLIONIS, M
MAHABAL, A
SINGH, AKKP
PRABHU, PNBTP
CHEN, GH
KOCHANEK, CS
HEWITT, JN
DUBINSKI, J
NARAYAN, R
PHILLIPS, TG
PAGE, D
HU, W
BUNN, EF
SUGIYAMA, N
DUFFY, P
BALL, L
KIRK, JG
PELT, J
REFSDAL, S
SCHRAMM, T
SHI, X
BODO, G
GHISELLINI, G
ADAMS, F
WATKINS, R
BRANDENBERGER, R
DAVIS, A
REES, MJ
UEDA, H
YOKOYAMA, J
VOROBEV, P
KOLOKOLOV, I
DANESE, L
TOFFOLATTI, L
FRANCESCHINI, A
MANDOLESI, MBN
LYTH, DH
WOSZCZYNA, A
KOSOWSKY, A
CAROLLO, M
ZEEUW, TD
MAREL, RVD
DANZIGER, J
QIAN, E
JAIN, B
MO, HJ
WHITE, SDM
KATZ, J
INAGAKI, S
YAHALOM, A
FAIZULLIN, R
BARGE, P
FR, JSB
AL, SOE
BAND, DL
FORD, LA
MATTESON, JL
PACIESAS, WS
PREECE, RD
PALMER, DM
TEEGARDEN, BJ
SCHAEFER, BE
KANG, H
JONES, TW
CAROLLO, CM
ZEEUW, PTD
MAREL, RPVD
MATSUBARA, T
SIMMONS, JFL
NEWSAM, AM
WILLIS, JP
CHABOYER, B
DEMARQUE, P
PINSONNEAULT, DBGMH
TULUIE, R
LAGUNA, P
HIPPEL, TV
GILMORE, G
JONES, DHP
LAZARIAN, A
MAMON, GA
BANCHET, V
CONTENSOU, GAMM
STECKER, FW
SALAMON, MH
JAGER, OCD
BOTTINO, A
KIM, CW
SONG, J
RIX, H
ASTROPHYSIK, MIF
WALTER, FM
MATTHEWS, LD
LINSKY, JL
JAFFE, AH
COLLABORATION, TA
PRICE, PB
HUDSON, MJ
DEKEL, A
COURTEAU, S
FABER, SM
WILLICK, JA
ZACHARIAS, N
PAOLIS, FD
INGROSSO, G
JETZER, P
QUADIR, A
RONCADELLI, M
FAIRBRIDGE, RW
WINDELIUS, G
HAUBOLD, HJ
DAR, A
SHAVIV, NJ
SHEMI, A
BERTOUT, C
REIPURTH, B
MALBET, F
BROWN, JC
BEEKMAN, G
GRAY, N
MACKINNON, AL
TELLES, E
TERLEVICH, R
MCGAUGH, S
SCHOMBERT, J
BOTHUN, G
PARSONS, P
BARROW, JD
CHARLOT, S
NG, K
SPELIOTOPOULOS, AD
KROLIK, JH
KRISS, GA
MIHOS, C
ALCOCK, C
ALLSMAN, RA
AXELROD, TS
BENNETT, DP
COOK, KH
FREEMAN, KC
GRIEST, K
GUERN, JA
LEHNER, MJ
MARSHALL, SL
PARK, HS
PERLMUTTER, S
PETERSON, BA
PRATT, MR
QUINN, PJ
RODGERS, AW
STUBBS, CW
SUTHERLAND, W
CRISTIANI, S
DODORICO, S
FONTANA, A
GIALLONGO, E
SAVAGLIO, S
PIETRINI, P
STURNER, SJ
GREINER, J
TAVANI, M
BELLONI, T
DAVIDGE, TJ
HARRIS, WE
SMAIL, I
HOGG, DW
BLANDFORD, R
COHEN, JG
DJORGOVSKI, ACESG
D, R
L, IG
L, S
COLBERT, EJM
PETRE, R
SCHLEGEL, EM
RYDER, SD
MUNSHI, D
SOURADEEP, T
STAROBINSKY, AA
KRAUSS, LM
ZWAAN, MA
HULST, JMVD
BLOK, WJGD
MCGAUGH, SS
GOULD, A
LIPMAN, K
PETTINI, M
HUNSTEAD, R
GRINDER, M
JAUNSEN, AO
JABLONSKI, M
PETTERSEN, BR
STABELL, R
BRANDT, WN
POUNDS, KA
FINK, H
YAMAMOTO, K
SASAKI, M
TANAKA, T
SCHOENIGER, F
GHELLER, C
MOSCARDINI, L
PANTANO, O
GNEDIN, OY
GOODMAN, J
FREI, Z
MERRIFIELD, KKMR
GAZTANAGA, E
CROFT, R
DALTON, G
WANG, Y
SCIALOM, D
KIBBLE, TWB
VILENKIN, A
KURKISUONIO, H
LAINE, M
MACORRA, ADL
BLASONE, M
VITIELLO, G
SENGUPTA, S
PAL, PB
ATHAR, H
PELTONIEMI, JT
SMIRNOV, AY
MELFO, A
PERIVOLAROPOULOS, L
LOPEZ, J
NANOPOULOS, D
SHIROMIZU, T
MORIKAWA, M
MUREIKA, JR
MANN, RB
HEISELBERG, H
JUNGMAN, G
KAMIONKOWSKI, M
BOYANOVSKY, D
BRAHM, DE
GONZALEZRUIZ, A
HOLMAN, R
TAKAKURA, FI
BUCHER, M
GOLDHABER, AS
TUROK, N
BANKS, T
BERKOOZ, M
STEINHARDT, PJ
BRUSTEIN, R
GASPERINI, M
GIOVANNINI, M
MUKHANOV, VF
VENEZIANO, G
STROMINGER, A
LARSEN, AL
SANCHEZ, N
COHEN, E
PIRAN, T
BUOTE, DA
TSAI, JC
SIRLIN, A
GILBERT, AM
JOHNSTON, KV
SPERGEL, DN
REYNOLDS, CS
FABIAN, AC
ALIGHIERI, SDS
CIMATTI, A
SURPI, GC
HARARI, DD
FRIEMAN, JA
SCHIAVON, RP
BATALHA, C
BARBUY, B
BERTOLAMI, O
GARCIABELLIDO, J
SCOTT, D
TEGMARK, M
STEINMETZ, M
CHEN, X
ABRAMOWICZ, MA
LASOTA, J
YI, I
COLLESS, M
HUNSTEAD, MPR
CAMPOS, A
YEPES, G
KLYPIN, A
MURANTE, G
PROVENZALE, A
BORGANI, S
POGOSYAN, D
STAROBINSKY, A
TRIPICCO, MJ
BELL, RA
HUFNAGEL, BDB
PETHICK, CJ
THORSSON, V
MATHAI, AM
COLLINS, CA
GUZZO, L
NICHOL, RC
LUMSDEN, SL
NELLA, HD
PATUREL, G
BROSTROM, L
MANNERVIK, S
ROYEN, P
WANNSTROM, A
ALEXANDER, T
RASIO, FA
STEIGMAN, G
FELTEN, JE
KNAPEN, JH
BECKMAN, JE
SHLOSMAN, I
PELETIER, RF
